Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation sur les 2 années
Divers cuisine;1004;16,2;18,0;1020.2
Lave linge;803;97,8;179,7;900.8
Sèche linge;702;141,2;179,7;843.2
Téléviseurs;508;242,2;177,5;750.2
Lave linge;603;176,1;176,9;779.1
Congélateur;210;168,1;175,7;378.1
Chaudières;305;226,8;175,5;531.8
Téléviseurs;601;54,5;174,5;655.5
Téléviseurs;1009;132,6;173,7;1141.6
Lave linge;608;17,7;17,5;625.7
Imprimantes;804;1,4;17,1;805.4
Plaques cuisson;1003;152,6;169,0;1155.6
Eau chaude sanitaire;705;2262,5;1686,8;2967.5
Congélateur;1010;81,9;168,9;1091.9
Téléviseurs;505;130,8;168,6;635.8
Chaudières;311;123,9;168,2;434.9
Cuisinières;507;111,2;168,1;618.2
Téléviseurs;406;95,5;167,5;501.5
Eau chaude sanitaire;407;2514,9;1660,8;2921.9
Congélateur;603;107,4;164,6;710.4
Piscines;804;1746,8;1635,2;2550.8
Congélateur;505;152,8;163,7;657.8
Eau chaude sanitaire;409;1739,7;1606,5;2148.7
Lave linge;510;126,1;160,6;636.1
Plaques cuisson;502;121,8;160,3;623.8
Sécurité;604;18,4;16,9;622.4
Lave linge;309;27,4;16,8;336.4
Audio_TV;302;22,2;16,7;324.2
Lave linge;102;59,8;16,6;161.8
Hifi;301;14,8;16,4;315.8
Cuisinières;601;121,7;159,1;722.7
Téléviseurs;602;207,8;158,7;809.8
Téléviseurs;506;156,7;158,4;662.7
Eau chaude sanitaire;402;1607,7;1570,3;2009.7
Plaques cuisson;206;158,6;157,4;364.6
Congélateur;206;162,2;155,7;368.2
Cuisinières;504;185,5;154,6;689.5
Périph_Internet_réseaux;607;122,7;153,8;729.7
Plaques cuisson;801;187,6;153,2;988.6
Eau chaude sanitaire;806;1354,8;1520,6;2160.8
Plaques cuisson;508;126,5;152,7;634.5
Téléviseurs;105;158,8;152,6;263.8
Hifi;702;147,1;151,4;849.1
Plaques cuisson;905;166,5;151,3;1071.5
Congélateur;405;169,2;150,3;574.2
Téléviseurs;110;162,5;150,2;272.5
Téléviseurs;1003;104,5;150,0;1107.5
Hifi;605;15,2;15,2;620.2
Mobilité_électrique;1005;22,1;15,2;1027.1
Nettoyage_sols;606;15,7;15,0;621.7
Congélateur;209;142,6;149,9;351.6
Eau chaude sanitaire;911;1262,0;1471,5;2173.0
Eau chaude sanitaire;202;1406,6;1462,6;1608.6
Lave linge;804;123,1;146,2;927.1
Eau chaude sanitaire;506;1398,2;1457,1;1904.2
Eau chaude sanitaire;204;1463,4;1452,0;1667.4
Lave linge;805;101,4;145,9;906.4
Plaques cuisson;704;162,7;145,2;866.7
Eau chaude sanitaire;1010;1442,4;1423,3;2452.4
Eau chaude sanitaire;209;1344,5;1421,2;1553.5
Eau chaude sanitaire;911;153,6;142,9;1064.6
Lave linge;503;136,8;141,9;639.8
Téléviseurs;210;144,1;141,4;354.1
Chaudières;605;126,6;141,3;731.6
